unique_id,table,record_id,field,fr_value,en-US,nl,de
b4a4e2aa-7521-4b7e-b611-b07918d84c36,animaltypes,e02fc64b-7319-4c57-be03-6be34a12db28,default_species,Fouine,Beech Marten,Steenmarter,Steinmarder
13da2a2e-c345-400d-b6ad-82f0481bbe44,animaltypes,e02fc64b-7319-4c57-be03-6be34a12db28,description,"Vison américain, ",American Mink,Amerikaanse nerts,Amerikanischer Nerz
deedb331-f174-49f1-85a7-5e5356a09e03,animaltypes,e02fc64b-7319-4c57-be03-6be34a12db28,name,Mustélidés,Mustelids,Marterachtigen,Marderartige
ae2f04f9-0180-4738-ae5e-8b6e4fc481b8,animaltypes,e1b0f05f-8d97-4c93-92b9-761e23946109,description,"Buse de harris, ",Harris's Hawk,Harris' havik,Wüstenbussard
72dd40c3-d74e-4b24-8f9f-8742ddaa5d79,animaltypes,e1b0f05f-8d97-4c93-92b9-761e23946109,name,Rapaces,Birds of prey,Roofvogels,Greifvögel
28d24cef-1f25-5ff0-bef0-bb8ea3353059,animaltypes,fdaaf1bb-27ec-44ad-bf55-e74d505cd762,name,Rapaces,Birds of prey,Roofvogels,Greifvögel
1f495535-d04c-467b-85ec-734b65cf32dd,animaltypes,fea31c0c-4cb0-478e-978b-134442b3abf8,default_species,Raton laveur,Raccoon,Wasbeer,Waschbär
64b33fa1-86be-4927-b1b0-ffbeac81f164,animaltypes,fea31c0c-4cb0-478e-978b-134442b3abf8,description,"Raton laveur, Genette",Raccoon, Genet,Wasbeer
2755298c-6980-4b55-a6a7-2bf603a0a2da,animaltypes,fea31c0c-4cb0-478e-978b-134442b3abf8,name,"Autres mammifères (Procyonidé, Viverridés, ...)",Other mammals (Procyonids, Viverrids, ...)
174643b9-a958-44ed-8ac9-a11a82c39b38,animaltypes,ffbcf1ba-b993-4288-87a9-1c884d019056,default_species,Hérisson,West European Hedgehog,Egel,Igel
dc11e64f-82b4-4164-8cf5-21f624cfbfc6,animaltypes,ffbcf1ba-b993-4288-87a9-1c884d019056,description,"Hérisson, ",West European Hedgehog,Egel,Igel
d89b8d19-d6c2-43db-9da5-1c81c62093b3,animaltypes,ffbcf1ba-b993-4288-87a9-1c884d019056,name,Hérissons et mammifères insectivores,Hedgehogs and insectivorous mammals,Egels en insectivore zoogdieren,Igel und insektenfressende Säugetiere
900a9873-b1fd-458a-a660-df967e688c23,caretypes,225d196b-5d25-4b47-86fd-bf03b5b2efd7,name,Soin,Care,Verzorging,Pflege
4fb9f514-dbd2-4f67-a335-a195ecd4dc24,caretypes,657ccf71-ba77-4cdc-b2fa-a45033277025,description,Animal had care given,Animal had care given,Dier heeft zorg ontvangen,Tier erhielt Pflege
ac57a78c-0766-4193-8792-feac099ee24d,caretypes,657ccf71-ba77-4cdc-b2fa-a45033277025,name,Suivi,Monitoring,Opvolging,Nachsorge
676d4f59-38a0-492e-ae57-f69ace83ca31,caretypes,65e995a6-499e-4f11-b10a-e43f207761aa,description,Animal is fed,Animal is fed,Dier is gevoerd,Tier wurde gefüttert
b0581faf-27f7-40cf-849b-840edf34e14f,caretypes,65e995a6-499e-4f11-b10a-e43f207761aa,name,Alimentation,Feeding,Voeding,Fütterung
5ec7e555-f985-425a-9e5b-7552540631a0,caretypes,7cc7e30e-1c20-41d8-9477-a84462f5cf82,description,Response to attention,Response to attention,Reactie op aandacht,Reaktion auf Zuwendung
e0b9dff3-ba22-4362-b897-1dfc171400ce,caretypes,7cc7e30e-1c20-41d8-9477-a84462f5cf82,name,Réponse alerte,Alert response,Alert reactie,Wachsame Reaktion
8bd696cf-5cdf-492b-ac6e-25a97f4e9998,caretypes,aa33a1a8-effb-490b-a4e1-d4890c8bc469,description,Attention needed,Attention needed,Aandacht nodig,Aufmerksamkeit erforderlich
24fadfce-ead5-48c7-9584-34b7bb42f3d6,caretypes,aa33a1a8-effb-490b-a4e1-d4890c8bc469,name,Alerte,Alert,Alarm,Alarm
3073113e-84cd-4bd2-b5e6-06cc76e99224,caretypes,adf1c795-a55f-4055-9fbb-6ec0ee2e6100,description,Animal is moved,Animal is moved,Dier is verplaatst,Tier wurde verlegt
14615762-9067-4f5a-90f7-51828e7f0755,caretypes,adf1c795-a55f-4055-9fbb-6ec0ee2e6100,name,Déplacement,Relocation,Verplaatsing,Umsetzung
2664787d-971d-4b4f-b7e8-344aad4fc724,caretypes,fe439281-73dc-4e1e-9a66-9588dbab87ec,description,Animal got food,Animal got food,Dier kreeg voer,Tier erhielt Futter
2bbfb590-a0b0-4c66-a2e0-b6f14a6fe28f,caretypes,fe439281-73dc-4e1e-9a66-9588dbab87ec,name,Repas,Meal,Maaltijd,Mahlzeit
09dee67d-849d-5013-b687-a99b7381cd16,dosages,0018407d-488b-430d-afc9-56a70419de59,description,1x ./ jour pendant minimum 5 jrs,1x / day for a minimum of 5 days,1x / dag gedurende min. 5 dagen,1x / Tag für mindestens 5 Tage
979b1add-5b82-5a54-89c5-3bd44a17b983,dosages,0018407d-488b-430d-afc9-56a70419de59,dosage_per_grams_unit,ml,ml,ml,ml
98a30288-0792-59a9-b1c2-509b54eda1ab,dosages,00394037-a605-43bf-a8c7-275d470b5047,description,"pendant 3 à 4jours ; si possible avec aliments ; si durée plus grande, diminuer dose de moitié",for 3 to 4 days; with food if possible; if longer duration, halve the dose,gedurende 3 tot 4 dagen; indien mogelijk met voer; bij langere duur
32657d21-4a4c-5e5a-82f6-c4b287098546,dosages,00394037-a605-43bf-a8c7-275d470b5047,dosage_per_grams_unit,ml,ml,ml,ml
4b46bd8b-570e-42f1-8863-fa3414b6e269,dosages,00feb78b-3780-4477-b968-617573d67356,dosage_per_grams_unit,Ml,Ml,Ml,Ml
6c0bd607-f75a-4e62-a25a-fee01dbb3a35,dosages,010a7256-6f40-49c1-9d77-366f23a2c263,dosage_per_grams_unit,ml,ml,ml,ml
961920c8-42c6-5f56-a662-5aa14a876b8a,dosages,01ba390c-2e1e-4404-840d-2466cb98ffe1,description,"antibiotique et anticoccidien ; SC, 1x/j 5jrs",antibiotic and anticoccidial; SC, 1x/day for 5 days,antibioticum en anticoccidiosum; SC
a8c6e205-e17f-5f7a-94a4-4ed66d77a39b,dosages,01ba390c-2e1e-4404-840d-2466cb98ffe1,dosage_per_grams_unit,ml,ml,ml,ml
178834c8-fd91-596e-b0cb-569fc50766c9,dosages,0202f566-d758-4bb5-9b5c-12c14be074ae,description,"1x/jr 3à5 jrs, en fct cible",1x/day 3 to 5 days, depending on target,1x/dag 3 tot 5 dagen
a325b71b-7ed7-5215-93f7-b3be6078097c,dosages,0202f566-d758-4bb5-9b5c-12c14be074ae,dosage_per_grams_unit,ml,ml,ml,ml
2d49f8a2-40e1-5240-bbaf-ff43a3128382,dosages,02401faf-238f-4abc-9f8d-4aab33bba73f,dosage_per_grams_unit,ml,ml,ml,ml
3955bd4e-8db8-5efd-a0c8-e5aa0cf266b5,dosages,034bf800-6b5f-4521-9cee-ebf50fbad61f,description,antiparasitaire deposer sur peau de la nuque,antiparasitic: apply to the skin of the nape,antiparasitair: aanbrengen op de huid van de nek,Antiparasitikum: auf die Haut des Nackens auftragen
9c14a7e9-0205-55aa-98a0-83c05098c331,dosages,034bf800-6b5f-4521-9cee-ebf50fbad61f,dosage_per_grams_unit,ml,ml,ml,ml
2872deb5-a6c7-4231-8828-240eafae6663,dosages,04093a11-af4d-4e47-8904-c109213661ad,description,inject / 48h,inject every 48h,injecteren / 48u,Injektion / 48h
92e710d4-c6bf-4a0d-9aa0-cc4612316fcb,dosages,04093a11-af4d-4e47-8904-c109213661ad,dosage_per_grams_unit,ml,ml,ml,ml
8055baa9-fe2b-54c2-a691-05fd0daee69c,dosages,04976231-3d89-4834-b829-9e792b4301ed,description,anticoccidien ; diluer a tout prix,anticoccidial; must be diluted at all costs,anticoccidiosum; ten koste van alles verdunnen,Antikokzidium; unbedingt verdünnen
97835e2a-e4a7-58b0-bbe5-9fac05521ed5,dosages,04976231-3d89-4834-b829-9e792b4301ed,dosage_per_grams_unit,ml,ml,ml,ml
9d3f34e6-7b15-541e-a63f-375690a324b2,dosages,04a5acdd-ccdf-4bf4-b526-67286d03807a,description,"1x / jour pendant 3 à 4jours ; si possible avec aliments ; si durée plus grande, diminuer dose de moitié",1x / day for 3 to 4 days; with food if possible; if longer duration, halve the dose,1x / dag gedurende 3 tot 4 dagen; indien mogelijk met voer; bij langere duur
d53ea05d-ad6d-5cd9-b518-f9524ed50f1d,dosages,04a5acdd-ccdf-4bf4-b526-67286d03807a,dosage_per_grams_unit,ml,ml,ml,ml
8ab2f3ac-8ded-410e-ae99-648e54174e71,dosages,04a60df6-7931-4565-885f-d873a8017602,dosage_per_grams_unit,ml (IV),ml (IV),ml (IV),ml (IV)
f9878d6c-47cf-4514-ab21-0eecd44699a0,dosages,04b1b817-f0af-4994-855d-c60b805bb2e6,description,3 to 5 days,3 to 5 days,3 tot 5 dagen,3 bis 5 Tage
9d1a5221-ebbf-4683-9c03-dad898b0a8fb,dosages,04b1b817-f0af-4994-855d-c60b805bb2e6,dosage_per_grams_unit,ml,ml,ml,ml
70c5a14b-3783-4c08-9087-053f6b60c2e8,dosages,05177c74-d781-4537-8d2e-fc26ec700ee1,dosage_per_grams_unit,ml,ml,ml,ml
ab66be8d-117a-441e-af0f-502f14d503e9,dosages,05801a4a-aff2-4317-a421-60b6f6803a47,dosage_per_grams_unit,ml,ml,ml,ml
e8f76629-0685-5950-8eb4-7575b8329e1b,dosages,059fd160-cd8b-4bdc-a737-c7365c01bdad,description,"choisir dilution en fct poids ; en \\""pour on\\"" dans nuque","choose dilution according to weight; as a ""pour-on"" on the nape","verdunning kiezen op basis van gewicht; als ""pour-on"" op de nek","Verdünnung nach Gewicht wählen; als ""Pour-on"" auf den Nacken"
24372b16-3521-542a-88cb-984bd5080446,dosages,07ebb32c-a0bb-4bc3-a19d-950486394be2,description,"3 x/ jour, 15 \\' avant repas",3 x / day, 15 mins before meals,3 x / dag
6eb20dd6-da73-527e-927c-1ceb4ae0c954,dosages,07ebb32c-a0bb-4bc3-a19d-950486394be2,dosage_per_grams_unit,ml,ml,ml,ml
44761aba-219f-578a-80dd-651c114e5081,dosages,08179a9c-d79b-4aeb-8ed5-c206195eb96d,description,"Peut-être 0,3...chez...Blaireau ?prendre relais avec K1 labo TVM",Maybe 0.3... for ...Badger? switch to K1 from TVM lab,Misschien 0,3... bij...Das? overstappen op K1 van TVM lab
7bb3d3ef-5893-5237-9fb4-cee6dbcf09a0,dosages,08179a9c-d79b-4aeb-8ed5-c206195eb96d,dosage_per_grams_unit,ml,ml,ml,ml
9b9a19aa-69fd-4041-9ef3-4ade37935378,dosages,0a0a1e75-41ae-49ba-8fb6-b9a76a680835,dosage_per_grams_unit,ml IM,ml IM,ml IM,ml IM
1924ce31-323b-534b-a716-bb1eb3ee010e,dosages,0a3cdaa3-1140-494c-8015-8d14817fdded,description,important pour éviter stase chez le lapin ; si animal mange : avant les repas of course 3x par jour,important to avoid stasis in rabbits; if eating: before meals of course 3x/day,belangrijk om stasis bij konijnen te voorkomen; indien etend: voor de maaltijd uiteraard 3x/dag,wichtig zur Vermeidung von Stase bei Kaninchen; wenn das Tier frisst: natürlich vor den Mahlzeiten 3x/Tag
f353f565-644a-598e-9c66-58c238c43f10,dosages,0a3cdaa3-1140-494c-8015-8d14817fdded,dosage_per_grams_unit,ml,ml,ml,ml
fe3186dd-9ef4-4a95-a32d-fe7dd0ca67b3,dosages,0b25abef-37d8-487c-8514-c2954718a3ac,description,1 à 3 jours dans l'eau de boisson,1 to 3 days in drinking water,1 tot 3 dagen in drinkwater,1 bis 3 Tage im Trinkwasser
35d99483-b3a8-4061-9b3e-45f0e94b4dc8,dosages,0b25abef-37d8-487c-8514-c2954718a3ac,dosage_per_grams_unit,ml,ml,ml,ml
d3f963be-1c96-4374-93bb-20d03b638a99,dosages,0bc7bb4c-d204-48ce-a357-59f915bccaec,description,"diluate iv, im, sc",dilute iv, im, sc
8afbaee3-4d17-44a6-9f08-4e850b82c7c9,dosages,0bc7bb4c-d204-48ce-a357-59f915bccaec,dosage_per_grams_unit,ml,ml,ml,ml
6d5c1b67-1275-4bf2-aaad-f016b064c1f6,dosages,0be74369-3799-4df0-bd15-8054dc8b85ee,dosage_per_grams_unit,ml,ml,ml,ml
09261e72-0ff6-534a-883b-c83606602640,dosages,0d1ddf43-bd19-481a-bebb-6d409f4af349,description,peut aller jusqu\\'à 2ml /kg 1x par jour pendant 3 jrs,can go up to 2ml/kg 1x per day for 3 days,kan oplopen tot 2ml/kg 1x per dag gedurende 3 dagen,kann bis zu 2ml/kg 1x täglich für 3 Tage betragen
d69cdea6-9a55-55f5-89d3-24e442a21923,dosages,0d1ddf43-bd19-481a-bebb-6d409f4af349,dosage_per_grams_unit,ml,ml,ml,ml
aceb18fb-18d9-58b3-add3-b26baf98a08a,dosages,0d7b60bb-d172-4a77-9578-b493a5306cda,description,2 gelules 2 fois par jour (utilisé pour ostéomyélites),2 capsules 2 times per day (used for osteomyelitis),2 capsules 2 maal per dag (gebruikt voor osteomyelitis),2 Kapseln 2-mal täglich (bei Osteomyelitis)
d482f2f4-ad6d-5804-95e7-119afaba15f8,dosages,0d7b60bb-d172-4a77-9578-b493a5306cda,dosage_per_grams_unit,gelules,capsules,capsules,Kapseln
4efe6d99-c3c8-5992-8c24-1766c7aa954f,dosages,0d8997db-3cc8-4b67-9f71-a596744e7b44,description,toujours diluer !!! donner 1x/jr pdt 3 jrs,always dilute!!! give 1x/day for 3 days,altijd verdunnen!!! geef 1x/dag gedurende 3 dagen,immer verdünnen!!! 1x/Tag für 3 Tage geben
07267123-b9f3-5e82-913a-504c0f506d09,dosages,0d8997db-3cc8-4b67-9f71-a596744e7b44,dosage_per_grams_unit,ml,ml,ml,ml
7d7aa181-7e46-5f22-aa30-26b18b2415a0,dosages,0dba7d8b-85ce-4212-9997-0231061991f9,dosage_per_grams_unit,ml,ml,ml,ml
24cfcdce-c3de-41d1-8a03-029efcca973b,dosages,0e10b6b0-6d40-4310-9668-82e72927a461,dosage_per_grams_unit,ml (IV),ml (IV),ml (IV),ml (IV)
70aca305-0874-4890-aa3c-07edc42e75b4,dosages,0e81f696-3465-4b1f-acf5-423ba64d0a92,dosage_per_grams_unit,ml (IV),ml (IV),ml (IV),ml (IV)
cabe6f50-13fb-42a1-b1d2-a9c9e490300b,dosages,0eb96123-abee-426f-8822-bb630f300837,description,"iv, iartic",iv, intra-articular,iv
65185bd1-6ade-4c9f-bbbc-a4438e37558e,dosages,0eb96123-abee-426f-8822-bb630f300837,dosage_per_grams_unit,ml,ml,ml,ml
ab3867c4-62a2-5406-972f-34ebc887cf9c,dosages,0f09d4fc-a827-4fc1-84de-38e1770e8e28,description,.2 x  /jour  7jours minimum. Utiliser dès que administration buccale possible; dose très forte : c\\'est vérifié!,.2 x /day minimum 7 days. Use as soon as oral admin possible; very high dose: confirmed!,0.2 x /dag min. 7 dagen. Gebruik zodra orale toediening mogelijk is; zeer hoge dosis: bevestigd!,0.2 x /Tag mind. 7 Tage. Anwenden
913c3f64-3a31-5f43-a917-ba8c4e05447f,dosages,0f09d4fc-a827-4fc1-84de-38e1770e8e28,dosage_per_grams_unit,comprimé,tablet,tablet,Tablette
833c48ca-10b1-55b0-b5b6-29f45678cb8d,dosages,0f771a69-e170-474b-8767-957f11fc0974,description,"1x/jr 3à5 jrs, en fct cible",1x/day 3 to 5 days, depending on target,1x/dag 3 tot 5 dagen
f71298bd-5730-56c2-99ee-2f8cb4b9e5b7,dosages,0f771a69-e170-474b-8767-957f11fc0974,dosage_per_grams_unit,ml,ml,ml,ml
0de1a229-3643-5769-9361-e7985b48c4e3,dosages,0ffffd05-f293-4251-bf55-2f6334d3dd7a,description,2x/jr pdt 5 jrs,2x/day for 5 days,2x/dag gedurende 5 dagen,2x/Tag für 5 Tage
6c24cf94-3390-5af8-8670-f36e65eb8f7c,dosages,0ffffd05-f293-4251-bf55-2f6334d3dd7a,dosage_per_grams_unit,ml,ml,ml,ml
d93bd6c7-be72-547e-8a75-6885527ab821,dosages,10ae4184-c1ad-4d11-bb9f-7cf8ed219ae1,description,(soit 1ml pour 8à10kgs) ; éventuellement répéter après 6à12 hrs,(i.e. 1ml per 8-10kgs); possibly repeat after 6-12 hrs,(d.w.z. 1ml per 8-10kg); eventueel herhalen na 6-12 uur,(d.h. 1ml pro 8-10kg); ggf. nach 6-12 Std. wiederholen
6c8f781a-a92a-5a4b-bbaa-2a46b6e848d3,dosages,10ae4184-c1ad-4d11-bb9f-7cf8ed219ae1,dosage_per_grams_unit,ml,ml,ml,ml
da9cbf27-70f3-5f8d-b09b-ab4aa9a3ba5d,dosages,10bdd087-a391-4687-96d9-56ae7cbb849f,description,per os 2x/jr ; pdt 7 jrs ,per os 2x/day; for 7 days,per os 2x/dag; gedurende 7 dagen,per os 2x/Tag; für 7 Tage
5d4e168f-e65b-5539-bc66-3344f8118eff,dosages,10bdd087-a391-4687-96d9-56ae7cbb849f,dosage_per_grams_unit,ml,ml,ml,ml
f22445f6-966a-485e-a4e8-90216422d8b2,dosages,119cd59e-bdb2-4011-8a08-58e47638b737,dosage_per_grams_unit,ml,ml,ml,ml
afbcead2-eec0-43e0-a8b8-fd483494180e,dosages,11c66844-b3a8-49f9-af00-8fee6649e1fb,dosage_per_grams_unit,ml (IV),ml (IV),ml (IV),ml (IV)
f9ae1ec5-d075-543c-a729-43968b5f3af7,dosages,13a2229f-ff10-4d4b-b591-1b6b89e9cfdc,description,"antiparasitaire ; appliquer sur peau nuque ; dose ici= 1 goutte pour 12,5g renouveler après 7-10 jrs",antiparasitic; apply to nape skin; dose here = 1 drop per 12.5g repeat after 7-10 days,antiparasitair; aanbrengen op nekhuid; dosis hier = 1 druppel per 12,5g herhalen na 7-10 dagen
00427e04-d5c8-50e2-acee-c729db14c8bd,dosages,13a2229f-ff10-4d4b-b591-1b6b89e9cfdc,dosage_per_grams_unit,ml,ml,ml,ml
b7aa9f4b-e1fe-4069-a8d5-5324a26634b1,dosages,14c9b172-9368-44eb-ba16-131edbbee029,dosage_per_grams_unit,Ml,Ml,Ml,Ml
0ab75a56-7c40-5484-a7e7-9cbd0fe16972,dosages,14fc3778-1448-49fe-aaa4-4432cddf6fc8,description,"déposer sur encolure, endroit impossible à lécher ; (jusqu\\'à 0,2ml/kg) renouveler après 7-10 jrs",apply to the nape, an area impossible to lick; (up to 0.2ml/kg) repeat after 7-10 days,aanbrengen op de nek
9fd69bc0-1108-58fa-8059-0d1893ec14d4,dosages,14fc3778-1448-49fe-aaa4-4432cddf6fc8,dosage_per_grams_unit,ml,ml,ml,ml
99569241-e0e2-55d8-a37c-5d783628ebc5,dosages,153f78aa-2374-4d55-a34c-ec045bc0c5ac,description,Repeat after 7 days,Repeat after 7 days,Herhalen na 7 dagen,Nach 7 Tagen wiederholen
fd1a469c-3d66-5f3b-a657-f4adc68b818f,dosages,153f78aa-2374-4d55-a34c-ec045bc0c5ac,dosage_per_grams_unit,mg,mg,mg,mg
fa385307-8ee7-5132-8136-de388f4f1ddc,dosages,164622d6-69ba-472e-913c-09ffb8f95a59,description,antiparasitaire deposer sur peau de la nuque,antiparasitic: apply to the skin of the nape,antiparasitair: aanbrengen op de huid van de nek,Antiparasitikum: auf die Haut des Nackens auftragen
640216c4-4291-5d76-84ea-19e76ea74e3e,dosages,164622d6-69ba-472e-913c-09ffb8f95a59,dosage_per_grams_unit,ml,ml,ml,ml
21786c63-920e-5b65-9e8b-74f89a3c689d,dosages,16d8d5be-1c22-4f9f-910d-20a0d316a32e,description,2 fois par jour pendant 7 jrs minimum ; peut doubler cette dose,2 times per day for min. 7 days; can double this dose,2 maal per dag gedurende min. 7 dagen; kan deze dosis verdubbelen,2-mal täglich für mind. 7 Tage; kann diese Dosis verdoppeln
2643962c-495b-5216-b153-f08d285a3025,dosages,16d8d5be-1c22-4f9f-910d-20a0d316a32e,dosage_per_grams_unit,ml,ml,ml,ml
8f041b36-20b8-4e1f-94cb-5613d59f56b2,dosages,174b1f3e-3f63-4bda-a715-3a939e21cb1c,dosage_per_grams_unit,ml,ml,ml,ml
04724ca5-ffb7-52bf-990a-31e792b633b3,dosages,17eb6966-fd2e-4d8a-b82a-2af897477fb4,description,2 fois par jour pdt 7 jrs ,2 times per day for 7 days,2 maal per dag gedurende 7 dagen,2-mal täglich für 7 Tage
c004cba8-64af-5fab-8330-b1535f9d3cb4,dosages,17eb6966-fd2e-4d8a-b82a-2af897477fb4,dosage_per_grams_unit,comp,tab,tab,Tabl
280f85be-3899-4ca2-b4a1-7480f34b89d7,dosages,18450977-c854-41e0-915c-1005dbcfc2e8,dosage_per_grams_unit,ml (IV),ml (IV),ml (IV),ml (IV)
0f31c9e2-dacc-4e02-9053-7a4c99914b37,dosages,196c2b01-547f-402b-bc93-6e6696cf3d39,dosage_per_grams_unit,Ml,Ml,Ml,Ml
