species_id,species_name,scientific_name,animal_type_name,match_method,confidence,review_status,evidence,notes
SP237,Barge rousse,Limosa lapponica,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP238,Barge à queue noire,Limosa limosa,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP246,Bec-croisé bifascié,Loxia leucoptera,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP245,Bec-croisé des sapins,Loxia curvirostra,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP247,Bec-croisé perroquet,Loxia pityopsittacus,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP282,Belette,Mustela nivalis,Mustélidés,candidate_taxonomy_rule,high,approved,taxonomy: AGW Mustélidé,Phase 1 operational classification; verify domain ownership before migration.
SP276,Bergeronnette des ruisseaux,Motacilla cinerea,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP275,Bergeronnette grise,Motacilla alba,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP277,Bergeronnette printanière,Motacilla flava,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP69,Bernache cravant,Branta bernicla,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP70,Bernache du Canada,Branta canadensis,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP71,Bernache nonnette,Branta leucopsis,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP72,Bernache à cou roux,Branta ruficollis,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP307,Bihoreau gris,Nycticorax nycticorax,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP261,Blaireau d'Europe,Meles meles,Mustélidés,candidate_taxonomy_rule,high,approved,taxonomy: AGW Mustélidé,Phase 1 operational classification; verify domain ownership before migration.
SP215,Blongios nain,Ixobrychus minutus,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP338,Bondrée apivore,Pernis apivorus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP107,Bouscarle de Cetti,Cettia cetti,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP383,Bouvreuil pivoine,Pyrrhula pyrrhula,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP481,Bouvreuil ponceau,Pyrrhula pyrrhula pyrrhula,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP159,Bruant auréole,Emberiza aureola,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP365,Bruant des neiges,Plectrophenax nivalis,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP168,Bruant des roseaux,Emberiza schoeniclus,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP161,Bruant fou,Emberiza cia,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP163,Bruant jaune,Emberiza citrinella,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP83,Bruant lapon,Calcarius lapponicus,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP166,Bruant nain,Emberiza pusilla,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP164,Bruant ortolan,Emberiza hortulana,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP160,Bruant proyer,Emberiza calandra,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP167,Bruant rustique,Emberiza rustica,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP162,Bruant zizi,Emberiza cirlus,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP165,Bruant à calotte blanche,Emberiza leucocephala,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP123,Busard cendré,Circus pygargus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP120,Busard des roseaux,Circus aeruginosus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP122,Busard pâle,Circus macrourus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP121,Busard Saint Martin,Circus cyaneus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP324,Buse de harris,Parabuteo unicinctus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP80,Buse pattue,Buteo lagopus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP79,Buse variable,Buteo buteo,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP68,Butor étoilé,Botaurus stellaris,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP400,Bécasse des bois,Scolopax rusticola,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP88,Bécasseau cocorli,Calidris ferruginea,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP89,Bécasseau de Bonaparte,Calidris fuscicollis,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP92,Bécasseau de Temminck,Calidris temminckii,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP236,Bécasseau falcinelle,Limicola falcinellus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP87,Bécasseau maubèche,Calidris canutus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP91,Bécasseau minute,Calidris minuta,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP85,Bécasseau sanderling,Calidris alba,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP90,Bécasseau tacheté,Calidris melanotos,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP86,Bécasseau variable,Calidris alpina,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP84,Bécasseau à queue pointue,Calidris acuminata,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP190,Bécassine des marais,Gallinago gallinago,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP191,Bécassine double,Gallinago media,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP253,Bécassine sourde,Lymnocryptes minimus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP140,Caille des blés,Coturnix coturnix,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP478,Caille du Japon,Coturnix japonica,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP308,Calopsitte,Nymphicus hollandicus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP127,Campagnol,Clethrionomys glareolus,Rongeurs,candidate_taxonomy_rule,high,approved,taxonomy: AGW Micro-mammifère,Phase 1 operational classification; verify domain ownership before migration.
SP269,Campagnol,Microtus arvalis,Rongeurs,candidate_taxonomy_rule,high,approved,taxonomy: AGW Micro-mammifère,Phase 1 operational classification; verify domain ownership before migration.
SP270,Campagnol,Microtus subterraneus,Rongeurs,candidate_taxonomy_rule,high,approved,taxonomy: AGW Micro-mammifère,Phase 1 operational classification; verify domain ownership before migration.
SP268,Campagnol agreste,Microtus agrestis,Rongeurs,candidate_taxonomy_rule,high,approved,taxonomy: AGW Micro-mammifère,Phase 1 operational classification; verify domain ownership before migration.
SP54,Campagnol terrestre,Arvicola terrestris,Rongeurs,candidate_taxonomy_rule,high,approved,taxonomy: AGW Micro-mammifère,Phase 1 operational classification; verify domain ownership before migration.
SP28,Canard chipeau,Anas strepera,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP25,Canard colvert,Anas platyrhynchos,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP81,Canard de barbarie,Cairina moschata,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP12,Canard mandarin,Aix galericulata,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP20,Canard pilet,Anas acuta,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP474,Canard semi-domestique,Anas,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP24,Canard siffleur,Anas penelope,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP21,Canard souchet,Anas clypeata,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP300,Cassenoix moucheté,Nucifraga caryocatactes,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP103,Castor d'Europe,Castor fiber,"Autres mammifères (Procyonidé, Viverridés, ...)",candidate_taxonomy_rule,high,approved,taxonomy: Mammalia residual group,Phase 1 operational classification; verify domain ownership before migration.
SP106,Cerf élaphe,Cervus elaphus,Ongulés,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP97,Chardonneret élégant,Carduelis carduelis,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP179,Chat haret,Felis catus,"Autres mammifères (Procyonidé, Viverridés, ...)",candidate_taxonomy_rule,high,approved,taxonomy: AGW Domestique,Phase 1 operational classification; verify domain ownership before migration.
SP180,Chat sylvestre,Felis silvestris,"Autres mammifères (Procyonidé, Viverridés, ...)",candidate_taxonomy_rule,high,approved,taxonomy: Mammalia residual group,Phase 1 operational classification; verify domain ownership before migration.
SP447,Chevalier aboyeur,Tringa nebularia,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP445,Chevalier arlequin,Tringa erythropus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP444,Chevalier bargette,Tringa cinerea,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP448,Chevalier culblanc,Tringa ochropus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP450,Chevalier gambette,Tringa totanus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP9,Chevalier guignette,Actitis hypoleucos,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP449,Chevalier stagnatile,Tringa stagnatilis,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP446,Chevalier sylvain,Tringa glareola,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP94,Chevreuil,Capreolus capreolus,Ongulés,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP57,Chevêche d'Athena,Athene noctua,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP199,Chevêchette d'Europe,Glaucidium passerinum,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP306,Chien viverrin,Nyctereutes procyonoides,Canidés,candidate_taxonomy_rule,high,approved,taxonomy: family Canidae,Phase 1 operational classification; verify domain ownership before migration.
SP139,Choucas des tours,Corvus monedula,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP11,Chouette de Tengmalm,Aegolius funereus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP419,Chouette hulotte,Strix aluco,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP422,Chouette épervière,Surnia ulula,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP116,Cigogne blanche,Ciconia ciconia,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP117,Cigogne noire,Ciconia nigra,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP118,Cincle plongeur,Cinclus cinclus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP119,Circaète Jean le blanc,Circaetus gallicus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP124,Cisticole des joncs,Cisticola juncidis,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP479,Cistude,Emys,"Reptiles, Amphibiens",candidate_taxonomy_rule,high,approved,taxonomy: class/AGW amphibian or reptile,Phase 1 operational classification; verify domain ownership before migration.
SP189,Cochevis huppé,Galerida cristata,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP130,Colin de Virginie,Colinus virginianus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP26,Colvert hybride,Anas platyrhynchos domesticus CI,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP345,Combattant varié,Philomachus pugnax,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP138,Corbeau freux,Corvus frugilegus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP340,Cormoran huppé,Phalacrocorax aristotelis,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP137,Corneille noire,Corvus corone,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP135,Coronelle lisse,Coronella austriaca,"Reptiles, Amphibiens",candidate_taxonomy_rule,high,approved,taxonomy: class/AGW amphibian or reptile,Phase 1 operational classification; verify domain ownership before migration.
SP125,Coucou geai,Clamator glandarius,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP145,Coucou gris,Cuculus canorus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP295,Couleuvre à collier,Natrix natrix,"Reptiles, Amphibiens",candidate_taxonomy_rule,high,approved,taxonomy: class/AGW amphibian or reptile,Phase 1 operational classification; verify domain ownership before migration.
SP129,Coulicou à bec jaune,Coccyzus americanus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP301,Courlis cendré,Numenius arquata,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP302,Courlis corlieu,Numenius phaeopus,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP303,Courlis à bec grèle,Numenius tenuirostris,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP52,Crabier chevelu,Ardeola ralloides,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP77,Crapaud calamite,Bufo calamita,"Reptiles, Amphibiens",candidate_taxonomy_rule,high,approved,taxonomy: class/AGW amphibian or reptile,Phase 1 operational classification; verify domain ownership before migration.
SP76,Crapaud commun,Bufo bufo,"Reptiles, Amphibiens",candidate_taxonomy_rule,high,approved,taxonomy: class/AGW amphibian or reptile,Phase 1 operational classification; verify domain ownership before migration.
SP147,Cygne chanteur,Cygnus cygnus,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP146,Cygne de Bewick,Cygnus columbianus bewickii,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP148,Cygne tuberculé,Cygnus olor,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP149,Daim,Dama dama,Ongulés,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP207,Echasse blanche,Himantopus himantopus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP399,Ecureuil roux,Sciurus vulgaris,"Autres mammifères (Procyonidé, Viverridés, ...)",candidate_taxonomy_rule,high,approved,taxonomy: Mammalia residual group,Phase 1 operational classification; verify domain ownership before migration.
SP462,Effraie des clochers,Tyto alba,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP404,Eider à duvet,Somateria mollissima,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP157,Elanion blanc,Elanus caeruleus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP95,Engoulevent d'Europe,Caprimulgus europaeus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP2,Epervier d'Europe,Accipiter nisus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP320,Erismature rousse,Oxyura jamaicensis,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP321,Erismature à tête blanche,Oxyura leucocephala,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP420,Etourneau roselin,Sturnus roseus,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP421,Etourneau sansonnet,Sturnus vulgaris,Moyens Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP344,Faisan de Colchide,Phasianus colchicus,Grands Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP177,Faucon crécerelle,Falco tinnunculus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP176,Faucon hobereau,Falco subbuteo,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP178,Faucon kobez,Falco vespertinus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP175,Faucon pèlerin,Falco peregrinus,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP174,Faucon émerillon,Falco columbarius,Rapaces,candidate_taxonomy_rule,high,approved,taxonomy: AGW Rapace,Phase 1 operational classification; verify domain ownership before migration.
SP428,Fauvette babillarde,Sylvia curruca,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP425,Fauvette des jardins,Sylvia borin,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP427,Fauvette grisette,Sylvia communis,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP430,Fauvette mélanocéphale,Sylvia melanocephala,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP429,Fauvette orphée,Sylvia hortensis,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP426,Fauvette passerinette,Sylvia cantillans,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP432,Fauvette pitchou,Sylvia undata,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP424,Fauvette à tête noire,Sylvia atricapilla,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
SP431,Fauvette épervière,Sylvia nisoria,Petits Oiseaux,candidate_taxonomy_rule,high,approved,source description exact-name membership,Phase 1 operational classification; verify domain ownership before migration.
